company,card_name,title,url,file_size_bytes,page_count,local_path
Hyundai,20250122_금소법_현대카드M_V1,20250122_금소법_현대카드M_V1.pdf,,103740,7,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\20250122_금소법_현대카드M_V1.pdf
Hyundai,20260107_X,20260107_X.pdf,,172767,11,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\20260107_X.pdf
Hyundai,250117_신용카드설명서_T3+Edition2,250117_신용카드설명서_T3+Edition2.pdf,,100851,6,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\250117_신용카드설명서_T3+Edition2.pdf
Hyundai,250220_현대카드 T3 Edition2 가이드북,250220_현대카드 T3 Edition2 가이드북.pdf,,613197,17,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\250220_현대카드 T3 Edition2 가이드북.pdf
Hyundai,250813_신용카드설명서_X,250813_신용카드설명서_X.pdf,,101267,7,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\250813_신용카드설명서_X.pdf
Hyundai,Digital Lover 신용카드 설명서,Digital Lover 신용카드 설명서.pdf,,99490,6,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\Digital Lover 신용카드 설명서.pdf
Hyundai,T_AEY-20241216-1207-03_금소법_Summit_V1,T_AEY-20241216-1207-03_금소법_Summit_V1.pdf,,102660,7,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\T_AEY-20241216-1207-03_금소법_Summit_V1.pdf
Hyundai,T_AEY-20251125-0941-97_가이드북_Summit_V2-1 (2),T_AEY-20251125-0941-97_가이드북_Summit_V2-1 (2).pdf,,153267,9,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\T_AEY-20251125-0941-97_가이드북_Summit_V2-1 (2).pdf
Hyundai,T_AEY-20251125-0958-13_가이드북_the Green ed3_V4 (2),T_AEY-20251125-0958-13_가이드북_the Green ed3_V4 (2).pdf,,116163,9,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\T_AEY-20251125-0958-13_가이드북_the Green ed3_V4 (2).pdf
Hyundai,T_AEY-20251125-1007-57_가이드북_the Pink ed2_V3 (2) (2),T_AEY-20251125-1007-57_가이드북_the Pink ed2_V3 (2) (2).pdf,,105975,9,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\T_AEY-20251125-1007-57_가이드북_the Pink ed2_V3 (2) (2).pdf
Hyundai,T_AO8-20250519-1505-08_금소법_SC제일은행 ZERO Ed3 포인트형_V1,T_AO8-20250519-1505-08_금소법_SC제일은행 ZERO Ed3 포인트형_V1.pdf,,99663,6,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\T_AO8-20250519-1505-08_금소법_SC제일은행 ZERO Ed3 포인트형_V1.pdf
Hyundai,T_AOB-20251126-1632-53_가이드북_SC_the Red_V2_공시실용,T_AOB-20251126-1632-53_가이드북_SC_the Red_V2_공시실용.pdf,,124144,15,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\T_AOB-20251126-1632-53_가이드북_SC_the Red_V2_공시실용.pdf
Hyundai,가이드북_DIGITAL LOVER_260107,가이드북_DIGITAL LOVER_260107.pdf,,428073,2,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\가이드북_DIGITAL LOVER_260107.pdf
Hyundai,가이드북_Z family Ed2_260107,가이드북_Z family Ed2_260107.pdf,,253365,11,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\가이드북_Z family Ed2_260107.pdf
Hyundai,가이드북_ZERO Ed3_포인트형_260107,가이드북_ZERO Ed3_포인트형_260107.pdf,,140545,14,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\가이드북_ZERO Ed3_포인트형_260107.pdf
Hyundai,금소법_SC제일은행 the Red_V1,금소법_SC제일은행 the Red_V1.pdf,,104098,7,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\금소법_SC제일은행 the Red_V1.pdf
Hyundai,금소법_Z family_260107,금소법_Z family_260107.pdf,,102175,6,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\금소법_Z family_260107.pdf
Hyundai,금소법_the Green Ed3_V1,금소법_the Green Ed3_V1.pdf,,103020,7,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\금소법_the Green Ed3_V1.pdf
Hyundai,금소법_the Pink Ed2_V1,금소법_the Pink Ed2_V1.pdf,,103224,7,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\manual\금소법_the Pink Ed2_V1.pdf
Hyundai,현대카드M 상품 가이드북,현대카드M 상품 가이드북.pdf,,526141,13,C:\Workspace\Smartpick\apps\backend\crawler\datasets\pdfs\hyundai\terms\현대카드M 상품 가이드북.pdf
KB,KB Easy Pick 카드,,https://img2.kbcard.com/obj/card/download/09243__prdctOpmn_20240228.pdf,4772601,8,datasets/pdfs\KB_KB Easy Pick 카드_.pdf
KB,KB Easy Pick 카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09243__prdctOpmn_20240228.pdf,468509,3,datasets/pdfs\kb\manuals\KB_KB Easy Pick 카드_PDF로 파일저장_manual.pdf
KB,KB Easy Pick 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09243.pdf,4772601,8,datasets/pdfs\kb\terms\KB_KB Easy Pick 카드_PDF로 파일저장_terms.pdf
KB,KB FINETECH 카드,,https://img2.kbcard.com/obj/card/download/09310__prdctOpmn_20241129.pdf,4859113,8,datasets/pdfs\KB_KB FINETECH 카드_.pdf
KB,KB FINETECH 카드,K-World UPI Diamond 상품설명서_terms,https://img2.kbcard.com/obj/card/download/00126_stpul_20250410.pdf,837940,3,datasets/pdfs\kb\terms\KB_KB FINETECH 카드_K-World UPI Diamond 상품설명서_terms.pdf
KB,KB FINETECH 카드,Mastercard World 상품설명서_terms,https://img2.kbcard.com/obj/card/download/00128_stpul_20250410.pdf,947937,3,datasets/pdfs\kb\terms\KB_KB FINETECH 카드_Mastercard World 상품설명서_terms.pdf
KB,KB My WE:SH 카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09923.pdf,4603886,8,datasets/pdfs\KB_KB My WESH 카드_.pdf
KB,KB My WE:SH 카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09923__prdctOpmn_20241230.pdf,1414827,10,datasets/pdfs\kb\manuals\KB_KB My WESH 카드_PDF로 파일저장_manual.pdf
KB,KB My WE:SH 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09923.pdf,4603886,8,datasets/pdfs\kb\terms\KB_KB My WESH 카드_PDF로 파일저장_terms.pdf
KB,KB Star 카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09310.pdf,4859113,8,datasets/pdfs\KB_KB Star 카드_.pdf
KB,KB Star 카드,K-World UPI Diamond 상품설명서_terms,https://img2.kbcard.com/obj/card/download/00126_stpul_20250410.pdf,837940,3,datasets/pdfs\kb\terms\KB_KB Star 카드_K-World UPI Diamond 상품설명서_terms.pdf
KB,KB Star 카드,Mastercard World 상품설명서_terms,https://img2.kbcard.com/obj/card/download/00128_stpul_20250410.pdf,947937,3,datasets/pdfs\kb\terms\KB_KB Star 카드_Mastercard World 상품설명서_terms.pdf
KB,KB Star 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09310.pdf,4859113,8,datasets/pdfs\kb\terms\KB_KB Star 카드_PDF로 파일저장_terms.pdf
KB,KB The Easy 카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09250__prdctOpmn_20250321.pdf,328964,4,datasets/pdfs\kb\manuals\KB_KB The Easy 카드_PDF로 파일저장_manual.pdf
KB,KB The Easy 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09250.pdf,4757905,8,datasets/pdfs\kb\terms\KB_KB The Easy 카드_PDF로 파일저장_terms.pdf
KB,KB 국민 굿데이 카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09063.pdf,4767952,8,datasets/pdfs\KB_KB 국민 굿데이 카드_.pdf
KB,KB 국민 굿데이 카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09063__prdctOpmn_20250813.pdf,572094,3,datasets/pdfs\kb\manuals\KB_KB 국민 굿데이 카드_PDF로 파일저장_manual.pdf
KB,KB 국민 굿데이 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09063.pdf,4767952,8,datasets/pdfs\kb\terms\KB_KB 국민 굿데이 카드_PDF로 파일저장_terms.pdf
KB,KB 마이원 카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_02050.pdf,4812472,9,datasets/pdfs\KB_KB 마이원 카드_.pdf
KB,KB 마이원 카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/02050__prdctOpmn_20241129.pdf,597374,3,datasets/pdfs\kb\manuals\KB_KB 마이원 카드_PDF로 파일저장_manual.pdf
KB,KB 마이원 카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_02050.pdf,4812472,9,datasets/pdfs\kb\terms\KB_KB 마이원 카드_PDF로 파일저장_terms.pdf
KB,KB 직장인 보너스 체크카드,,https://img2.kbcard.com/obj/card/download/01690__prdctOpmn_20241129.pdf,695140,3,datasets/pdfs\KB_KB 직장인 보너스 체크카드_.pdf
KB,KB 직장인 보너스 체크카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/01690__prdctOpmn_20241129.pdf,695140,3,datasets/pdfs\kb\manuals\KB_KB 직장인 보너스 체크카드_PDF로 파일저장_manual.pdf
KB,KB 청춘대로 톡톡카드,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09174.pdf,4614162,8,datasets/pdfs\KB_KB 청춘대로 톡톡카드_.pdf
KB,KB 청춘대로 톡톡카드,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09174__prdctOpmn_20241128.pdf,592990,3,datasets/pdfs\kb\manuals\KB_KB 청춘대로 톡톡카드_PDF로 파일저장_manual.pdf
KB,KB 청춘대로 톡톡카드,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09174.pdf,4614162,8,datasets/pdfs\kb\terms\KB_KB 청춘대로 톡톡카드_PDF로 파일저장_terms.pdf
KB,KB 탄탄대로 Miz&Mr,,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09183.pdf,4602297,8,datasets/pdfs\KB_KB 탄탄대로 MizMr_.pdf
KB,KB 탄탄대로 Miz&Mr,PDF로 파일저장_manual,https://img2.kbcard.com/obj/card/download/09183__prdctOpmn_20241128.pdf,609293,4,datasets/pdfs\kb\manuals\KB_KB 탄탄대로 MizMr_PDF로 파일저장_manual.pdf
KB,KB 탄탄대로 Miz&Mr,PDF로 파일저장_terms,https://img2.kbcard.com/obj/contents/download/Terms_sheet_persnal_MERGE_09183.pdf,4602297,8,datasets/pdfs\kb\terms\KB_KB 탄탄대로 MizMr_PDF로 파일저장_terms.pdf
Shinhan,Air One,(공통)아멕스 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01208_amex_platinum_basic.pdf,509346,3,datasets/pdfs\shinhan\manuals\Shinhan_Air One_공통아멕스 플래티늄.pdf
Shinhan,Air One,(선택)아멕스 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00792_amex_platinum_classicplus.pdf,710146,3,datasets/pdfs\shinhan\manuals\Shinhan_Air One_선택아멕스 플래티늄.pdf
Shinhan,Hi-Point,(공통)마스터카드 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01197_master_platinum_basic.pdf,546471,4,datasets/pdfs\shinhan\manuals\Shinhan_Hi-Point_공통마스터카드 플래티늄.pdf
Shinhan,Hi-Point,(공통)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01204_visa_platinum_basic.pdf,519118,3,datasets/pdfs\shinhan\manuals\Shinhan_Hi-Point_공통비자 플래티늄.pdf
Shinhan,Hi-Point,(선택)마스터카드 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00785_master_platinum_1_old.pdf,679554,3,datasets/pdfs\shinhan\manuals\Shinhan_Hi-Point_선택마스터카드 플래티늄.pdf
Shinhan,Hi-Point,(선택)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00775_visa_platinum_1_old.pdf,679627,3,datasets/pdfs\shinhan\manuals\Shinhan_Hi-Point_선택비자 플래티늄.pdf
Shinhan,Point Plan,(공통)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01204_visa_platinum_basic.pdf,519118,3,datasets/pdfs\shinhan\manuals\Shinhan_Point Plan_공통비자 플래티늄.pdf
Shinhan,Point Plan,(선택)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00776_visa_platinum_1_new.pdf,706103,3,datasets/pdfs\shinhan\manuals\Shinhan_Point Plan_선택비자 플래티늄.pdf
Shinhan,Simple,(공통)JCB(URS) 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01210_jcb_platinum_basic.pdf,480910,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_공통JCBURS 플래티늄.pdf
Shinhan,Simple,(공통)UPI 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01205_upi_platinum_basic.pdf,502770,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_공통UPI 플래티늄.pdf
Shinhan,Simple,(공통)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_01204_visa_platinum_basic.pdf,519118,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_공통비자 플래티늄.pdf
Shinhan,Simple,(선택)JCB(URS) 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00798_jcb_platinum_1_platinumsO.pdf,693993,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_선택JCBURS 플래티늄.pdf
Shinhan,Simple,(선택)UPI 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00803_upi_platinum_1_platinums.pdf,698168,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_선택UPI 플래티늄.pdf
Shinhan,Simple,(선택)비자 플래티늄,https://www.shinhancard.com/pconts/download/card/PC_26_00776_visa_platinum_1_new.pdf,706103,3,datasets/pdfs\shinhan\manuals\Shinhan_Simple_선택비자 플래티늄.pdf
